userId,fullName,nickName,gender,address,city,state,zip,cellPhone,workPhone,homePhone,email,personalWebsite,birthYear,age,dateOfBirth,height,weight,placeOfBirth,health,maritalStatus,children,childrenNumber,childrenAges,immigrationStatus,immigrationStatusOther,ethnicity,highSchool,highSchoolYear,bachelors,bachelorsYear,masters,mastersYear,doctorate,doctorateYear,otherDegree,otherDegreeYear,highestEducation,employed,employment,position,income,religiousPractice,religiousPracticeOther,religiousPracticeBrief,revertTime,beard,smoker,preReligious,preReligiousOther,preReligiousBrief,preWear,preSmoking,preEthnic,preEthnicSpecific,preImmigrationStatus,preImmigrationStatusOther,preMaritalStatus,preChildren,preEducation,preEmployment,preIncome,preAgeGap,guarName,guarAddress,guarCity,guarState,guarCountry,guarPhone,guarEmail,guarProfession,familyBrief,refName1,refRelation1,refPhone1,refName2,refRelation2,refPhone2,refName3,refRelation3,refPhone3,photo,cv,album,govIssuedId,matchShowLimit,userPass,status,profileCompleteness,openingDate,lastEdit,userToken,matchId,matchPercentage,reqAccepted,reqRejected,reqSent,signature,gallery,tempGallery,lockedId
71,Candidate 15,NULL,Male,Address 15,Harloysville,NY,101101,000-000-0014,NULL,NULL,test15@gmail.com,NULL,1972,47,NULL,68,155,NULL,NULL,Divorced,No,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Masters,Yes,NULL,NULL,NULL,Sunni,NULL,NULL,NULL,No,No,Sunni,NULL,NULL,No Preference,No,NULL,No Preference,No Preference,NULL,Single,No,Bachelor,No Preference,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,NULL,NULL,NULL,NULL,"27,28,26,29,25,","50,50,40,40,30,",NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
72,Candidate 17,NULL,Male,Address 17,Gibbsboro,NY,101101,000-000-0016,NULL,NULL,test17@gmail.com,NULL,1994,24,NULL,66,150,NULL,NULL,Single,No,NULL,NULL,US Citizen,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Other,Yes,NULL,NULL,NULL,Sunni,NULL,NULL,NULL,Yes,No,Sunni,NULL,NULL,Headscarf,No,NULL,Bengali,Other,NULL,Single,No,Bachelor,Yes,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,NULL,NULL,NULL,NULL,"27,25,26,28,29,","60,50,50,50,50,",NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
73,Candidate 19,NULL,Male,Address 19,Beaumont,NY,101101,000-000-0018,NULL,NULL,test19@gmail.com,NULL,1982,36,NULL,67,180,NULL,NULL,Single,No,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Other,Yes,NULL,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bachelor,No,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,NULL,NULL,NULL,NULL,"28,29,27,25,26,","20,20,10,0,0,",NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
74,Candidate 20,NULL,Male,Address 20,Ozone Park,NY,101101,000-000-0019,NULL,NULL,test20@gmail.com,NULL,1982,30,NULL,67,170,NULL,NULL,Single,No,NULL,NULL,F-1,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Masters,Yes,NULL,NULL,60000,Sunni,NULL,NULL,NULL,No,No,Sunni,NULL,NULL,"Niqab,Headscarf",No,NULL,No Preference,"US Citizen,Parmanent Resident",NULL,Single,No,Bachelor,Yes,10000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Inactive,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
75,Candidate 21,NULL,Male,Address 21,Ozone Park,NY,101101,000-000-0020,NULL,NULL,test21@gmail.com,NULL,1982,29,NULL,66,140,NULL,NULL,Single,No,NULL,NULL,US Citizen,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Masters,Yes,NULL,NULL,NULL,Sunni,NULL,NULL,NULL,NULL,NULL,Sunni,NULL,NULL,"No Preference, Niqab",No,NULL,No Preference,No Preference,NULL,Single,No,Masters,No Preference,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Inactive,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
77,Maruf Bari,NULL,Male,NULL,NULL,Wisconsin,NULL,2.34E+13,NULL,NULL,marufbuet,NULL,1990,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"No Preference,",NULL,Specific Ethnicity,Bangladeshi,"nullParmanent Resident,Bangladesh,",NULL,"nullDivorced,Widowed,",NULL,NULL,Yes,120000,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,40,12:41.0,40:50.0,49683793,"25,26,27,28,29,","20,20,20,10,0,",31,NULL,26,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
78,Md Karamot Ali,NULL,Male,"Mymensingh,Dhaka, Bangladessh",Dhaka,Texas,2216,23948792304,123456,7890,karamot.mbstu@gmail.com,NULL,1994,28,NULL,70,73,NULL,NULL,Single,No,NULL,NULL,Bangladesh,NULL,,Shibrampur High School,2009,MBSTU,2016,ICT,2018,Cyber Security,2022,Media,2020,Doctorate,Yes,xxxx,officer,200000,Sunni,NULL,I am satisfied with my religious,No,Yes,No,Sunni,NULL,NULL,"nullHeadscarf,Jelbab/Abaya,",No,No Preference,No Preference,"nullUS Citizen,Parmanent Resident,Bangladesh,",NULL,"nullSingle,",Yes,Masters,No Preference,NULL,6,"Azizur RAhman , Father","Dhaka, Bangladesh",dhaka,Kansas,Bangladesh,234333,father@gmail.com,Teacher,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Active,90,14:30.0,04:08.0,30805283,"26,27,28,25,29,","30,30,30,20,20,",NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
79,Md Rasheduzzaman,NULL,Male,1033 glenmore Ave,Brooklyn,New York,11208,6073708910,NULL,NULL,rashed.cseru@gmail.com,NULL,1988,34,NULL,66,154,Bangladesh,NULL,Single,No,NULL,NULL,Student Visa,NULL,,kushita Govt college,2005,BSC in Computer science & Engineering,2013,"MSC in CSE  Gannon University PA, USA",2021,NULL,NULL,NULL,NULL,NULL,Yes,software farm,programmer,60000,Sunni,NULL,"I am  a practicing Muslim , Ex member of BICS and Rukon of BJI",NULL,Yes,No,Sunni,NULL,NULL,"Headscarf,Jelbab/Abaya,Niqab,",No,No Preference,No Preference,"No Preference,",NULL,"Single,",No,Bachelor,No Preference,NULL,15,Father Md Jamal uddin,poradaha kushtia,khulna,NULL,Bangladesh,1723282950,NULL,Retired,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFVSamVFMUVWVEJOYWtFOQ==,Active,73,30:01.0,48:46.0,53815655,"27,28,26,29,25,","50,50,40,40,30,",31,NULL,27,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
80,Tarek Hasan,NULL,Male,NULL,NULL,Florida,NULL,23424235235,NULL,NULL,tarekhasan,NULL,1993,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,new_logo.png,NULL,NULL,NULL,5,VFZSSmVrNUJQVDA9,Inactive,20,30:46.0,31:49.0,40012292,NULL,NULL,NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
81,Md Nazmul Hoque,NULL,Male,446 Eldert Ln,Brooklyn,New York,11208,sdfasdfasfasf,NULL,NULL,nazmulmoffice@gmail.com,NULL,1990,32,NULL,NULL,NULL,NULL,NULL,Single,No,NULL,NULL,NULL,NULL,,testing high school,1998,testing bachelors,2004,NULL,NULL,NULL,NULL,sfsfsfsdfs,2006,NULL,Yes,testing,manager,202222222,NULL,NULL,NULL,NULL,Yes,No,Sunni,NULL,NULL,"Jelbab/Abaya,Niqab,",No,No Preference,No Preference,"Parmanent Resident,, US Citizen",NULL,"Single,",No,Doctorate,Yes,100000,5,testing,testing address,chity,Washington,United States,6469067855,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,10,VmtkV2VtUkhiSFZhTUVGNVRVUkplUT09,Locked,80,26:55.0,25:41.0,26086711,"26,25,27,31,28,29,32,","60,50,50,50,40,20,0,",NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,32
82,Ramim,Ramim,Male,Dhaka,Dhaka,New Jersey,NULL,1776344872,NULL,NULL,ramimbuet12@gmail.com,NULL,1993,29,NULL,72,120,Bangladesh,NA,Single,No,NULL,NULL,Bangladesh,NULL,,Zilla,2010,DU,2017,NU,2021,NULL,NULL,NULL,NULL,Masters,Yes,Own,Department Head,15000,Sunni,NULL,"Attend mosque regularly, Do compulsory fasting, attend halaqa",NULL,Yes,No,Sunni,NULL,"Attend mosque regularly, Do compulsory fasting, attend halaqa.","Niqab,",No,Own Ethnicity,Bangladeshi,"US Citizen,",NULL,"Single,",No,Bachelor,No Preference,NULL,5,Abdus Samad,Naoga,Naoga,New York,USA,NULL,NULL,Teacher,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IMG_6294.jpg,Md.-Ashraful-Haque_Resume.pdf,NULL,NULL,5,VFdwUk1FMTZVVDA9,Pending,93,59:14.0,34:51.0,25663174,"27,28,26,31,25,29,32,","50,50,40,40,30,30,0,",NULL,NULL,NULL,20191026_173548.jpg,NULL,NULL,NULL
83,Bin,NULL,Male,NULL,NULL,Delaware,NULL,1776344872,NULL,NULL,faxof58441@agrolivana.com,NULL,1997,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VFdwUk1FMTZVVDA9,Inactive,NULL,06:24.0,06:24.0,81059880,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,md afil hossain,NULL,Male,NULL,NULL,Florida,NULL,1723282950,NULL,NULL,sourcerweb@gmail.com,NULL,1990,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,anonymous.png,NULL,NULL,NULL,5,VG5wbk5VNUVWVEk9,Inactive,12,48:00.0,50:31.0,76481807,NULL,NULL,NULL,NULL,NULL,NULL,"gallery1.jpg,gallery2.jpg,gallery3.jpg,gallery4.jpg",NULL,NULL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Niqab, Headscarf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
